,CURRENT,PREVIOUS,PREVIOUS_SPEAKER,PREVIOUS_DISTANCE,PREVIOUS_DISTANCE_LOG,PREVIOUS_BETA_MAN,PREVIOUS_BETA_WERDEN,QUASI_PERSISTENCE,HUMAN_ID,INTERACTION_ID,TURN_LENGTH,CONFEDERATE
1854,werden,man,J,10,2.302585092994046,False,False,False,20171121A,4,10,True
1873,werden,werden,S,19,2.9444389791664403,False,True,False,20171121A,4,7,True
4057,werden,man,S,8,2.0794415416798357,False,False,False,20171121B,8,24,True
4176,werden,werden,J,14,2.6390573296152584,True,False,False,20171121B,8,6,True
4879,werden,man,J,503,6.220590170099739,False,True,False,20171121B,8,42,True
4989,werden,werden,A,19,2.9444389791664403,False,False,True,20171121B,8,8,True
5081,werden,werden,S,92,4.5217885770490405,False,False,False,20171121B,8,6,True
7628,werden,man,J,220,5.393627546352362,False,False,True,20171121C,12,16,True
7641,werden,werden,S,13,2.5649493574615367,False,False,True,20171121C,12,6,True
8369,werden,man,J,476,6.16541785423142,False,True,False,20171121C,12,8,True
10076,werden,werden,J,9,2.1972245773362196,False,True,True,20171122A,16,6,True
12978,werden,werden,S,10,2.302585092994046,False,True,False,20171122B,20,6,True
13813,man,man,J,586,6.373319789577012,False,True,False,20171122B,20,26,True
13868,werden,man,S,55,4.007333185232471,False,True,False,20171122B,20,35,True
13922,werden,werden,S,54,3.9889840465642745,False,False,True,20171122B,20,9,True
13976,werden,werden,S,54,3.9889840465642745,False,False,True,20171122B,20,11,True
13982,werden,werden,S,6,1.791759469228055,False,False,True,20171122B,20,11,True
14051,werden,werden,S,69,4.23410650459726,False,False,False,20171122B,20,9,True
15606,werden,werden,S,19,2.9444389791664403,False,False,False,20171122C,24,6,True
15797,man,man,J,112,4.718498871295094,False,False,False,20171122C,24,14,True
16439,werden,werden,A,15,2.70805020110221,False,False,True,20171122C,24,8,True
18289,werden,werden,J,24,3.1780538303479458,False,False,False,20171123A,28,6,True
18473,man,werden,J,86,4.454347296253507,False,False,False,20171123A,28,5,True
18592,werden,werden,J,5,1.6094379124341003,False,False,False,20171123A,28,6,True
19126,werden,werden,A,15,2.70805020110221,False,False,True,20171123A,28,8,True
19179,werden,werden,S,53,3.970291913552122,False,False,True,20171123A,28,12,True
19184,werden,werden,S,5,1.6094379124341003,False,False,True,20171123A,28,12,True
19331,werden,werden,J,18,2.8903717578961645,False,False,False,20171123A,28,7,True
21160,werden,werden,A,15,2.70805020110221,False,False,True,20171123B,31,8,True
21287,werden,werden,J,9,2.1972245773362196,False,False,False,20171123B,31,7,True
23229,man,man,J,144,4.969813299576001,False,True,False,20171123D,35,21,True
23235,werden,man,S,6,1.791759469228055,False,True,False,20171123D,35,21,True
23356,werden,werden,S,121,4.795790545596741,False,False,False,20171123D,35,17,True
23379,werden,werden,S,23,3.1354942159291497,False,False,False,20171123D,35,31,True
23411,werden,werden,S,32,3.4657359027997265,False,False,False,20171123D,35,10,True
23545,werden,werden,J,25,3.2188758248682006,False,False,False,20171123D,35,6,True
23950,werden,werden,A,60,4.0943445622221,False,False,False,20171123D,35,9,True
24004,werden,werden,S,54,3.9889840465642745,False,False,True,20171123D,35,7,True
26363,man,man,J,123,4.812184355372417,False,False,False,20171123E,39,12,True
29375,werden,man,J,64,4.1588830833596715,False,False,True,20171123F,43,6,True
29542,man,werden,S,167,5.117993812416755,False,True,False,20171123F,43,7,True
29927,man,man,S,385,5.953243334287785,False,False,True,20171123F,43,16,True
29937,man,man,S,10,2.302585092994046,False,False,False,20171123F,43,16,True
30132,werden,werden,A,15,2.70805020110221,False,False,True,20171123F,43,8,True
32027,man,man,J,14,2.6390573296152584,False,False,False,20171127A,47,9,True
32327,werden,man,S,300,5.703782474656201,False,True,False,20171127A,47,60,True
32339,man,werden,S,12,2.4849066497880004,False,True,False,20171127A,47,60,True
32402,werden,man,S,63,4.143134726391533,False,False,True,20171127A,47,13,True
32418,werden,werden,S,16,2.772588722239781,False,False,False,20171127A,47,5,True
32923,werden,man,J,230,5.438079308923196,False,False,False,20171127A,47,37,True
33036,werden,werden,J,68,4.219507705176107,False,True,False,20171127A,47,53,True
33116,werden,werden,S,80,4.382026634673881,False,False,True,20171127A,47,8,True
33178,man,werden,S,62,4.127134385045092,False,False,True,20171127A,47,29,True
33194,werden,man,S,16,2.772588722239781,False,False,False,20171127A,47,29,True
33244,werden,werden,J,10,2.302585092994046,False,False,False,20171127A,47,7,True
35613,werden,man,S,234,5.455321115357702,False,True,False,20171127B,51,6,True
35677,man,werden,S,64,4.1588830833596715,False,False,False,20171127B,51,39,True
35685,man,man,S,8,2.0794415416798357,False,False,False,20171127B,51,39,True
36672,werden,werden,A,15,2.70805020110221,False,False,True,20171127B,51,8,True
36735,werden,werden,S,63,4.143134726391533,False,False,True,20171127B,51,16,True
36902,werden,werden,S,167,5.117993812416755,False,False,False,20171127B,51,8,True
38707,werden,man,J,104,4.6443908991413725,False,False,False,20171127C,55,7,True
39117,man,man,J,277,5.6240175061873385,False,False,False,20171127C,55,31,True
39146,werden,man,S,29,3.367295829986474,False,False,False,20171127C,55,22,True
39179,man,werden,S,33,3.4965075614664802,False,False,True,20171127C,55,8,True
39275,werden,werden,A,15,2.70805020110221,False,False,True,20171127C,55,8,True
39329,werden,werden,S,54,3.9889840465642745,False,False,True,20171127C,55,8,True
39425,werden,man,J,42,3.7376696182833684,False,False,True,20171127C,55,7,True
39550,werden,man,J,12,2.4849066497880004,False,False,True,20171127C,55,9,True
41591,man,man,S,21,3.044522437723423,False,False,False,20171128A,59,15,True
41626,werden,man,J,17,2.833213344056216,False,False,False,20171128A,59,6,True
41766,werden,werden,S,140,4.941642422609304,False,False,False,20171128A,59,12,True
42128,werden,man,J,140,4.941642422609304,False,True,False,20171128A,59,33,True
42133,werden,werden,S,5,1.6094379124341003,False,True,False,20171128A,59,8,True
42221,werden,werden,S,88,4.477336814478207,False,False,False,20171128A,59,6,True
44762,werden,werden,J,9,2.1972245773362196,False,False,True,20171128B,63,6,True
45405,werden,man,J,513,6.240275845170769,False,True,False,20171128B,63,39,True
45447,werden,werden,A,15,2.70805020110221,False,False,True,20171128B,63,8,True
47634,werden,werden,S,16,2.772588722239781,False,True,False,20171129A,67,6,True
47679,werden,werden,S,45,3.8066624897703196,False,False,True,20171129A,67,13,True
47711,man,werden,S,32,3.4657359027997265,True,False,False,20171129A,67,20,True
47740,man,man,S,29,3.367295829986474,True,False,False,20171129A,67,7,True
48272,werden,man,J,81,4.394449154672439,False,False,False,20171129A,67,20,True
48355,werden,man,J,48,3.871201010907891,False,False,False,20171129A,67,6,True
48402,werden,werden,S,47,3.8501476017100584,False,False,False,20171129A,67,29,True
48456,werden,werden,A,15,2.70805020110221,False,False,True,20171129A,67,8,True
50914,werden,man,S,101,4.61512051684126,True,False,False,20171129B,72,43,True
50961,werden,werden,S,47,3.8501476017100584,False,True,True,20171129B,72,6,True
51799,man,man,J,671,6.508769136971682,False,False,True,20171129B,72,12,True
51876,werden,man,J,51,3.9318256327243257,False,True,False,20171129B,72,30,True
51913,werden,werden,A,15,2.70805020110221,False,False,True,20171129B,72,9,True
52330,man,man,S,285,5.652489180268651,False,False,False,20171129C,73,40,True
54231,werden,werden,J,21,3.044522437723423,False,False,True,20171129C,76,6,True
54324,man,werden,S,93,4.532599493153256,False,True,False,20171129C,76,24,True
54342,man,man,S,18,2.8903717578961645,False,True,False,20171129C,76,15,True
54643,man,man,S,301,5.707110264748875,False,False,False,20171129C,76,11,True
54776,man,man,J,110,4.700480365792417,False,True,False,20171129C,76,46,True
54782,werden,man,S,6,1.791759469228055,False,True,False,20171129C,76,46,True
54791,werden,werden,S,9,2.1972245773362196,False,True,False,20171129C,76,7,True
56492,werden,werden,J,11,2.3978952727983707,False,False,False,20171129D,80,6,True
57185,werden,man,J,398,5.986452005284438,False,True,False,20171129D,80,35,True
57232,werden,werden,A,15,2.70805020110221,False,False,True,20171129D,80,8,True
57285,werden,werden,S,53,3.970291913552122,False,False,True,20171129D,80,8,True
57327,werden,werden,S,42,3.7376696182833684,False,False,False,20171129D,80,8,True
59510,werden,werden,S,9,2.1972245773362196,False,True,False,20171130A,84,6,True
59807,man,man,J,82,4.406719247264253,False,False,False,20171130A,84,8,True
60223,werden,werden,A,16,2.772588722239781,False,False,True,20171130A,84,9,True
60369,man,man,J,34,3.5263605246161616,False,True,False,20171130A,84,18,True
63194,man,man,J,95,4.553876891600541,False,False,False,20171130B,88,6,True
63391,werden,werden,J,79,4.3694478524670215,False,False,False,20171130B,88,6,True
63510,man,werden,S,119,4.77912349311153,False,False,False,20171130B,88,39,True
63524,man,man,S,14,2.6390573296152584,False,True,False,20171130B,88,39,True
64151,man,man,J,380,5.940171252720432,False,False,True,20171130B,88,5,True
64408,man,man,S,257,5.54907608489522,True,False,False,20171130B,88,35,True
64458,werden,man,S,50,3.912023005428146,False,False,False,20171130B,88,18,True
64520,man,werden,S,62,4.127134385045092,False,False,False,20171130B,88,15,True
64562,werden,man,S,42,3.7376696182833684,False,False,False,20171130B,88,44,True
64651,werden,werden,A,15,2.70805020110221,False,False,True,20171130B,88,8,True
64707,werden,werden,S,56,4.02535169073515,False,False,True,20171130B,88,9,True
64714,werden,werden,S,7,1.9459101490553132,False,False,True,20171130B,88,8,True
64942,man,werden,S,228,5.429345628954441,False,False,True,20171130B,88,7,True
65043,werden,werden,J,55,4.007333185232471,False,False,False,20171130B,88,6,True
67563,man,man,J,18,2.8903717578961645,False,False,False,20171130C,92,50,True
67571,man,man,S,8,2.0794415416798357,False,False,False,20171130C,92,50,True
67639,werden,man,S,68,4.219507705176107,False,False,False,20171130C,92,6,True
67763,man,man,J,85,4.442651256490317,False,False,True,20171130C,92,8,True
68084,werden,werden,J,37,3.6109179126442243,False,False,False,20171130C,92,6,True
68281,man,werden,S,197,5.2832037287379885,False,False,False,20171130C,92,17,True
68398,werden,werden,A,15,2.70805020110221,False,False,True,20171130C,92,9,True
68504,werden,werden,J,30,3.4011973816621555,False,False,False,20171130C,92,8,True
68557,werden,werden,S,53,3.970291913552122,False,False,True,20171130C,92,5,True
68608,werden,werden,S,51,3.9318256327243257,True,False,True,20171130C,92,8,True
68791,werden,werden,A,20,2.995732273553991,False,False,True,20171130C,92,9,True
68933,werden,werden,J,91,4.51085950651685,False,False,True,20171130C,92,8,True
69014,werden,werden,J,16,2.772588722239781,False,False,False,20171130C,92,6,True
71582,man,man,J,8,2.0794415416798357,False,False,False,20171201A,96,7,True
72032,werden,man,J,332,5.805134968916488,False,False,True,20171201A,96,8,True
72140,werden,werden,S,108,4.68213122712422,False,False,True,20171201A,96,6,True
72161,werden,werden,S,21,3.044522437723423,False,False,True,20171201A,96,12,True
72166,werden,werden,S,5,1.6094379124341003,False,False,True,20171201A,96,12,True
74385,werden,man,J,251,5.5254529391317835,False,False,True,20171201B,98,8,True
74455,man,man,J,59,4.07753744390572,False,False,True,20171201B,98,14,True
75694,werden,werden,S,16,2.772588722239781,False,True,False,20171201B,99,6,True
76033,man,werden,S,339,5.82600010738045,False,False,False,20171201B,99,29,True
76179,man,man,S,146,4.983606621708336,True,False,False,20171201B,99,49,True
76201,man,man,S,22,3.091042453358316,True,False,False,20171201B,99,49,True
77281,werden,man,J,964,6.871091294610546,False,False,False,20171201B,99,8,True
77454,werden,werden,A,20,2.995732273553991,False,False,True,20171201B,99,6,True
77537,werden,werden,J,15,2.70805020110221,False,False,False,20171201B,99,7,True
77563,werden,werden,S,26,3.258096538021482,False,False,True,20171201B,99,9,True
77720,man,man,J,65,4.174387269895637,False,False,False,20171201B,99,17,True
77818,werden,werden,J,74,4.30406509320417,False,False,True,20171201B,99,6,True
77903,werden,werden,A,48,3.871201010907891,False,False,False,20171201B,99,6,True
80506,werden,werden,S,33,3.4965075614664802,False,True,False,20171208A,104,6,True
80571,man,werden,S,65,4.174387269895637,True,True,False,20171208A,104,7,True
80573,man,man,S,2,0.6931471805599453,False,True,False,20171208A,104,7,True
80594,man,man,S,21,3.044522437723423,False,False,False,20171208A,104,17,True
81199,man,werden,A,20,2.995732273553991,False,False,True,20171208A,104,10,True
81263,man,man,S,64,4.1588830833596715,False,False,True,20171208A,104,18,True
81307,werden,werden,J,18,2.8903717578961645,False,False,False,20171208A,104,6,True
82928,man,man,J,366,5.902633333401366,False,False,True,20171208B,106,11,True
83294,werden,werden,J,1,0.0,False,False,False,20171208B,107,8,True
83304,werden,werden,S,10,2.302585092994046,False,False,False,20171208B,107,6,True
83923,man,man,J,41,3.713572066704308,False,False,False,20171208B,107,9,True
84182,werden,werden,J,21,3.044522437723423,False,False,False,20171208B,107,6,True
84254,man,werden,S,72,4.276666119016055,False,False,False,20171208B,107,33,True
84294,werden,werden,A,16,2.772588722239781,False,False,True,20171208B,107,7,True
84344,werden,werden,S,50,3.912023005428146,False,False,True,20171208B,107,4,True
84438,werden,werden,S,94,4.543294782270004,False,False,True,20171208B,107,6,True
84522,werden,werden,S,84,4.430816798843313,False,False,True,20171208B,107,15,True
